"capability_id","phase_or_source","domain","capability","agenthub_status","agenthub_evidence","ragflow_fit","delegation_recommendation","ragflow_scope","gross_existing_loc_removable_est","future_loc_avoided_est","new_integration_loc_est","net_loc_reduction_est","estimate_confidence","estimate_basis","security_authorization_boundary","ragflow_official_evidence"
"CAP-062","Sprint 9","Tools","Tool definition binding secret references approvals and invocation policy","verified","docs/tasks/sprint-9-tool-registry-approval/plan.md; docs/tasks/sprint-9-tool-registry-approval/verification.md","partial","retain_agenthub","RAGFlow can call tools and MCP but cannot replace AgentHub approval contracts","120","0","260","-140","medium","Execution client may move; registry and approval remain","Critical tools disabled by default and secrets never copied into graphs","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-063","Phase 2.7 Part 1","Models","Live provider hardening streaming timeout error and usage normalization","verified","docs/tasks/phase-2-7-part-1-live-provider-hardening/plan.md; docs/tasks/phase-2-7-part-1-live-provider-hardening/verification.md","high","delegate_execution","Use RAGFlow model-provider layer for RAGFlow-executed calls","300","0","240","60","medium","Provider normalization overlaps; public contract translation remains","AgentHub still approves provider profile and egress destination","https://github.com/infiniflow/ragflow#key-features"
"CAP-064","Phase 3 A","Identity","Personal MCP identity delegation and on-behalf-of downstream access","planned","docs/planning/phase-3-plan.md","none","retain_agenthub","RAGFlow API keys and team sharing are not evidence of enterprise OBO delegation","0","0","0","0","high","No implementation estimate claimed before IdP decisions","Requires explicit IdP token exchange audience consent and revocation design","https://ragflow.io/docs/category/developer-guides"
"CAP-065","Phase 3 B","Security","Governed upload malware and true-file-type scanning","planned","docs/planning/phase-3-plan.md","none","retain_agenthub","Document parsing is not malware scanning","0","0","0","0","high","Security scanner integration remains independent","Scan and quarantine before any RAGFlow parser receives content","https://github.com/infiniflow/ragflow/tree/main/deepdoc"
"CAP-066","Phase 3 C","Conversation","Persistent server-side conversation history","planned","docs/planning/phase-3-plan.md","high","consider_delegate","RAGFlow provides agent chat histories and memory; use it if retention and subject mapping pass review","0","600","260","340","medium","Avoids planned message store and retrieval implementation","AgentHub controls user mapping retention deletion export and access audit","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-067","Phase 3 D","Agents","Optional bounded multi-agent supervision","planned","docs/planning/phase-3-plan.md","high","consider_delegate","Use RAGFlow multi-agent planning only after value and guardrail spike","0","650","400","250","low","Official multi-agent support avoids core orchestration code","AgentHub retains budgets tool allowlists kill switch and human escalation","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-068","Phase 3 E","Security","Superadmin recovery authentication hardening","planned","docs/planning/phase-3-plan.md","none","retain_agenthub","Outside RAGFlow scope","0","0","0","0","high","No integration effect","Requires independent strong authentication and recovery governance","https://github.com/infiniflow/ragflow"
"CAP-069","Sprint 1","Catalog","Tenant-scoped project scenario model embedding and provider profile catalog","verified","docs/tasks/sprint-1-tenant-identity-catalog/plan.md; docs/tasks/sprint-1-tenant-identity-catalog/verification.md","partial","retain_agenthub_sync_subset","Synchronize only approved model and embedding settings needed by RAGFlow","120","0","240","-120","medium","RAGFlow has configurable models but not AgentHub catalog ownership semantics","Credentials destinations and tenant ownership stay AgentHub-controlled","https://github.com/infiniflow/ragflow#key-features"
"CAP-070","Sprint 2","GitOps","Governed GitOps artifact import validation and reconciliation","verified","docs/tasks/sprint-2-artifacts-releases/plan.md; docs/tasks/sprint-2-artifacts-releases/verification.md","none","retain_agenthub","RAGFlow export and rollback do not replace AgentHub GitOps reconciliation","0","0","100","-100","high","Only a RAGFlow resource synchronizer is added","Imported RAGFlow resources remain quarantined until validated and authorized","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-071","Phase 2.5 Part 3","Ownership","Durable project ownership and owner transfer constraints","verified","docs/tasks/phase-2-5-part-3-ownership-credentials/plan.md; docs/tasks/phase-2-5-part-3-ownership-credentials/verification.md","none","retain_agenthub","Distinct AgentHub business authorization capability","0","0","0","0","high","No delegated execution impact","Ownership is server-authoritative and cannot be inferred from RAGFlow creators","https://github.com/infiniflow/ragflow"
"CAP-072","Sprint 3","Gateway","Execution-context propagation tenant actor request trace and release pins","verified","docs/tasks/sprint-3-gateway-execution-context/plan.md; docs/tasks/sprint-3-gateway-execution-context/verification.md","partial","retain_agenthub","Translate a bounded downstream context but retain the canonical execution envelope","80","0","180","-100","high","Small provider-context code removed and adapter added","Do not forward secrets roles or unrestricted tenant selectors","https://github.com/infiniflow/ragflow"
"CAP-073","Sprint 3; Sprint 8","Reliability","Idempotent request and workflow start replay handling","verified","docs/tasks/sprint-3-gateway-execution-context/verification.md; docs/tasks/sprint-8-workflow-core/verification.md","low","retain_agenthub","No official evidence that RAGFlow satisfies AgentHub public idempotency contracts","0","0","140","-140","high","Downstream correlation and deduplication mapping added","AgentHub idempotency record is authoritative across timeouts and retries","https://github.com/infiniflow/ragflow"
"CAP-074","Sprint 6","Releases","Evaluation-gated promotion traffic canary and automatic rollback","verified","docs/tasks/sprint-6-eval-promotion-rollback/plan.md; docs/tasks/sprint-6-eval-promotion-rollback/verification.md","low","retain_agenthub","RAGFlow app rollback may be an execution primitive but not the business gate","100","0","180","-80","medium","Provider deployment step can shrink","Only AgentHub may authorize traffic changes and rollback outcomes","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-075","Phase 2.5 Part 4; clarification task","Documents","Document version identity checksum lineage and replacement semantics","verified","docs/tasks/clarify-document-versioning/plan.md; docs/tasks/clarify-document-versioning/verification.md","partial","retain_agenthub","Store RAGFlow document IDs as derived processing resources","100","0","180","-80","medium","Some parser-copy bookkeeping can move","Canonical document version lineage remains immutable in AgentHub","https://ragflow.io/docs/category/user-guides"
